x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
2437.312,1166.7299,2659.3984,1348.6985,7,0.58032703,,truck
1824.0066,1185.3341,1891.3916,1242.8398,2,0.50482637,,car
2204.7822,1213.8893,2321.1465,1339.0739,2,0.4864432,,car
542.0876,1127.8927,729.772,1283.2511,5,0.47131795,,bus
1924.2231,1175.0101,2007.3911,1235.8217,2,0.36664528,,car
2371.678,1530.5929,2620.727,1754.6862,7,0.35352945,,truck
1513.1431,1050.6815,1650.4912,1150.6619,5,0.28366354,,bus
835.19586,1699.521,1259.0636,2053.9678,2,0.6736316,,car
2444.5408,1166.9941,2654.0051,1345.751,7,0.6411891,,truck
2358.8857,1523.7042,2613.247,1744.012,2,0.5353436,,car
1823.8572,1188.3512,1886.009,1242.783,2,0.5185788,,car
2202.0469,1212.7289,2320.484,1336.8315,2,0.45969635,,car
542.0753,1127.4258,730.20685,1283.019,5,0.4243742,,bus
1927.6842,1165.2024,2013.4691,1231.8237,2,0.4116651,,car
2433.6074,1165.9025,2650.7522,1346.7671,5,0.3553892,,bus
1512.5149,1050.9325,1651.0034,1150.3931,5,0.25228202,,bus
748.3495,1732.3052,1219.2129,2119.7441,2,0.7575,,car
2436.9114,1166.2329,2647.82,1343.9485,7,0.6059013,,truck
1813.6414,1191.8087,1882.0283,1244.679,2,0.45623213,,car
2364.658,1509.5002,2603.0654,1736.97,2,0.45218027,,car
2204.5159,1221.2443,2313.9778,1336.2311,2,0.4508919,,car
542.3073,1124.6654,726.32446,1280.0469,5,0.4108656,,bus
1921.8157,1181.5739,2007.8174,1239.3292,2,0.30353913,,car
1502.4823,1049.5867,1662.9988,1150.233,5,0.2751978,,bus
2435.2246,1163.0775,2639.633,1339.674,7,0.6745968,,truck
651.846,1737.69,1169.3169,2160.0,2,0.658285,,car
2204.5127,1219.34,2312.7393,1335.8514,2,0.55374753,,car
2363.4473,1500.5614,2588.3352,1721.6144,2,0.50000453,,car
543.70685,1127.3109,731.3356,1276.7286,5,0.42684096,,bus
1803.0593,1197.9475,1883.4946,1253.7262,2,0.41251004,,car
1918.7349,1184.9811,2002.9608,1239.1942,2,0.31112158,,car
1509.8956,1050.9213,1651.8867,1150.0487,5,0.27681622,,bus
2435.5269,1161.9823,2638.2847,1339.9337,7,0.6825545,,truck
2355.3335,1489.1854,2587.3706,1709.9231,2,0.6428573,,car
2202.63,1215.8419,2309.0918,1334.1453,2,0.6287715,,car
1797.1216,1197.582,1879.3784,1255.8586,2,0.5247275,,car
541.8767,1126.0728,730.6381,1282.9172,5,0.40347475,,bus
567.285,1740.1985,1133.8802,2157.3896,2,0.33499604,,car
1916.2537,1183.2008,2007.0417,1239.5366,2,0.31493577,,car
1920.5326,1164.9174,2005.7517,1229.9282,2,0.27401325,,car
2349.5054,1484.8235,2578.2092,1697.313,2,0.77183044,,car
2430.7078,1160.636,2638.7175,1339.3871,7,0.6741148,,truck
2201.7886,1213.556,2305.4731,1330.76,2,0.5897177,,car
1792.2953,1196.554,1877.1786,1256.5441,2,0.5231531,,car
541.62164,1126.3085,730.7011,1282.9955,5,0.36469468,,bus
540.5737,1125.4662,727.9406,1285.9354,7,0.35780233,,truck
513.1994,1880.38,1058.9198,2156.2488,2,0.3576515,,car
1900.005,1192.5132,1996.6521,1255.4546,2,0.34639186,,car
1915.4326,1168.8083,2006.3712,1235.5115,2,0.26422215,,car
1909.9845,1182.0854,2007.4867,1250.2075,2,0.25801432,,car
2426.7993,1161.0183,2632.987,1331.7283,7,0.6884707,,truck
2346.1284,1475.243,2568.1233,1687.8168,2,0.685997,,car
1789.2645,1195.9366,1875.2626,1256.8785,2,0.62589777,,car
1900.778,1198.7124,1987.626,1256.1632,2,0.42987013,,car
2198.8308,1203.5773,2305.667,1329.8259,2,0.42598704,,car
